,station_status,last_reported,is_returning,is_renting,num_docks_disabled,num_bikes_disabled,num_docks_available,station_id,num_bikes_available,is_installed,num_ebikes_available,eightd_has_available_keys,legacy_id,valet,eightd_active_station_services,starttime,timestamp,demand,supply
502,active,1605137488,1,1,0,0,27,3354,4,1,0,True,3354,,,1605139205,1605139205,1,0
503,active,1605138442,1,1,0,1,15,3355,9,1,3,False,3355,,,1605139205,1605139205,0,1
504,active,1605136168,1,1,0,0,16,3356,5,1,4,False,3356,,,1605139205,1605139205,1,0
505,active,1605135519,1,1,0,2,20,3357,13,1,6,False,3357,,,1605139205,1605139205,0,1
506,active,1605137318,1,1,0,0,21,3358,4,1,0,False,3358,,,1605139205,1605139205,2,0
507,active,1605139182,1,1,0,1,33,3359,7,1,1,False,3359,,,1605139205,1605139205,0,0
508,active,1605138151,1,1,0,1,16,3361,6,1,0,False,3361,,,1605139205,1605139205,0,0
509,active,1605138509,1,1,0,0,31,3362,3,1,1,False,3362,,,1605139205,1605139205,0,0
510,active,1605139051,1,1,0,3,8,3363,22,1,0,False,3363,,,1605139205,1605139205,2,0
511,active,1605138781,1,1,0,0,6,3364,21,1,0,False,3364,,,1605139205,1605139205,0,1
512,active,1605139122,1,1,0,0,24,3365,3,1,1,False,3365,,,1605139205,1605139205,1,0
513,active,1605138655,1,1,0,1,25,3366,5,1,4,False,3366,,,1605139205,1605139205,1,0
514,active,1605138425,1,1,0,4,22,3367,13,1,0,False,3367,,,1605139205,1605139205,0,0
515,active,1605139098,1,1,0,0,4,3368,26,1,0,False,3368,,,1605139205,1605139205,0,0
516,active,1605137733,1,1,0,1,24,3369,4,1,1,False,3369,,,1605139205,1605139205,2,0
517,active,1605139023,1,1,0,0,12,3370,13,1,1,False,3370,,,1605139205,1605139205,0,1
518,active,1605139063,1,1,0,0,12,3372,27,1,1,False,3372,,,1605139205,1605139205,1,0
519,active,1605138495,1,1,0,0,3,3373,24,1,0,False,3373,,,1605139205,1605139205,0,0
520,active,1605139067,1,1,0,0,23,3374,13,1,2,True,3374,,,1605139205,1605139205,2,0
521,active,1605138597,1,1,0,0,31,3375,4,1,0,False,3375,,,1605139205,1605139205,0,0
522,active,1605138687,1,1,0,0,12,3376,27,1,8,False,3376,,,1605139205,1605139205,0,2
