,num_bikes_available,num_bikes_disabled,num_docks_available,is_installed,last_reported,station_status,station_id,num_docks_disabled,is_returning,is_renting,eightd_has_available_keys,num_ebikes_available,legacy_id,valet,eightd_active_station_services,starttime,timestamp,demand,supply
643,29,0,4,1,1604658701,active,3545,0,1,1,False,3,3545,,,1604660405,1604660405,0,0
644,2,1,18,1,1604636084,active,3546,0,1,1,False,0,3546,,,1604660405,1604660405,1,0
645,39,0,2,1,1604644286,active,3547,0,1,1,False,0,3547,,,1604660405,1604660405,0,0
646,7,1,17,1,1604654943,active,3549,0,1,1,False,3,3549,,,1604660405,1604660405,0,2
647,7,0,16,1,1604636597,active,3551,0,1,1,False,2,3551,,,1604660405,1604660405,0,1
648,2,0,37,1,1604646034,active,3552,0,1,1,False,1,3552,,,1604660405,1604660405,0,0
649,21,0,16,1,1604659822,active,3553,0,1,1,False,5,3553,,,1604660405,1604660405,0,2
650,8,3,16,1,1604649066,active,3554,0,1,1,False,1,3554,,,1604660405,1604660405,0,0
651,6,0,21,1,1604658268,active,3555,0,1,1,False,3,3555,,,1604660405,1604660405,0,2
652,17,0,2,1,1604638064,active,3557,0,1,1,False,3,3557,,,1604660405,1604660405,0,0
653,5,2,20,1,1604637268,active,3558,0,1,1,False,1,3558,,,1604660405,1604660405,0,0
654,0,0,19,1,1604635940,active,3559,0,1,1,False,0,3559,,,1604660405,1604660405,0,0
655,12,0,14,1,1604658715,active,3561,0,1,1,False,3,3561,,,1604660405,1604660405,0,0
656,13,1,13,1,1604660329,active,3562,0,1,1,False,1,3562,,,1604660405,1604660405,0,1
657,2,0,27,1,1604656417,active,3563,0,1,1,False,2,3563,,,1604660405,1604660405,0,0
658,14,0,5,1,1604652318,active,3564,0,1,1,False,0,3564,,,1604660405,1604660405,0,0
659,8,0,11,1,1604641805,active,3565,0,1,1,False,2,3565,,,1604660405,1604660405,0,0
660,7,0,18,1,1604657986,active,3566,0,1,1,False,1,3566,,,1604660405,1604660405,0,0
661,2,0,17,1,1604638984,active,3567,0,1,1,False,1,3567,,,1604660405,1604660405,1,0
662,9,0,12,1,1604649196,active,3568,0,1,1,False,1,3568,,,1604660405,1604660405,0,0
663,9,0,20,1,1604646743,active,3569,0,1,1,False,2,3569,,,1604660405,1604660405,0,1
664,15,0,16,1,1604660087,active,3570,0,1,1,False,1,3570,,,1604660405,1604660405,0,0
665,7,1,16,1,1604660241,active,3571,0,1,1,False,5,3571,,,1604660405,1604660405,0,3
666,19,0,14,1,1604660305,active,3572,0,1,1,False,2,3572,,,1604660405,1604660405,0,2
667,9,0,16,1,1604654165,active,3573,0,1,1,False,4,3573,,,1604660405,1604660405,0,2
668,8,1,14,1,1604641377,active,3574,0,1,1,False,1,3574,,,1604660405,1604660405,0,0
669,9,0,10,1,1604658836,active,3575,0,1,1,False,0,3575,,,1604660405,1604660405,0,2
670,8,0,19,1,1604657813,active,3576,0,1,1,False,4,3576,,,1604660405,1604660405,0,2
671,11,0,12,1,1604639606,active,3577,0,1,1,False,0,3577,,,1604660405,1604660405,0,1
672,3,0,18,1,1604641177,active,3578,0,1,1,False,0,3578,,,1604660405,1604660405,0,0
673,7,0,18,1,1604659933,active,3579,0,1,1,False,2,3579,,,1604660405,1604660405,0,2
674,2,1,27,1,1604644234,active,3580,0,1,1,False,1,3580,,,1604660405,1604660405,0,0
675,10,0,17,1,1604643507,active,3581,0,1,1,False,0,3581,,,1604660405,1604660405,0,1
676,5,0,23,1,1604657770,active,3582,0,1,1,False,5,3582,,,1604660405,1604660405,0,0
677,3,0,28,1,1604636277,active,3583,0,1,1,False,2,3583,,,1604660405,1604660405,0,0
678,4,0,38,1,1604657558,active,3584,0,1,1,False,2,3584,,,1604660405,1604660405,0,0
679,7,0,17,1,1604656455,active,3585,0,1,1,False,5,3585,,,1604660405,1604660405,0,1
680,11,1,7,1,1604641588,active,3586,0,1,1,False,0,3586,,,1604660405,1604660405,0,0
681,6,0,21,1,1604653919,active,3587,0,1,1,False,3,3587,,,1604660405,1604660405,0,0
682,17,0,4,1,1604653566,active,3588,0,1,1,False,1,3588,,,1604660405,1604660405,0,0
683,16,0,3,1,1604637039,active,3589,0,1,1,False,1,3589,,,1604660405,1604660405,0,1
684,14,0,5,1,1604655272,active,3590,0,1,1,False,6,3590,,,1604660405,1604660405,0,1
685,9,0,12,1,1604660007,active,3591,0,1,1,False,2,3591,,,1604660405,1604660405,0,0
686,6,0,13,1,1604660127,active,3592,0,1,1,False,1,3592,,,1604660405,1604660405,0,0
687,11,0,24,1,1604660185,active,3593,0,1,1,False,1,3593,,,1604660405,1604660405,0,1
688,13,0,5,1,1604654443,active,3595,0,1,1,False,0,3595,,,1604660405,1604660405,0,1
689,17,1,1,1,1604644065,active,3596,0,1,1,False,2,3596,,,1604660405,1604660405,0,1
690,23,1,1,1,1604660053,active,3597,0,1,1,False,8,3597,,,1604660405,1604660405,0,2
691,18,0,1,1,1604660064,active,3598,0,1,1,False,3,3598,,,1604660405,1604660405,0,1
692,7,0,20,1,1604659007,active,3600,0,1,1,False,3,3600,,,1604660405,1604660405,0,0
693,19,0,0,1,1604654960,active,3601,0,1,1,False,1,3601,,,1604660405,1604660405,0,1
694,7,0,16,1,1604658705,active,3602,0,1,1,False,2,3602,,,1604660405,1604660405,0,0
695,15,0,6,1,1604637887,active,3603,0,1,1,False,6,3603,,,1604660405,1604660405,0,1
