,last_reported,station_id,is_installed,station_status,legacy_id,eightd_has_available_keys,num_docks_available,is_returning,num_docks_disabled,num_bikes_disabled,num_bikes_available,num_ebikes_available,is_renting,valet,eightd_active_station_services,starttime,timestamp,demand,supply
720,1604780786,3637,1,active,3637,False,30,1,0,1,0,0,1,,,1604782800,1604782800,5,0
721,1604782772,3638,1,active,3638,False,11,1,0,0,7,0,1,,,1604782800,1604782800,0,0
722,1604781953,3639,1,active,3639,False,27,1,0,0,3,0,1,,,1604782800,1604782800,3,0
723,1604774783,3640,1,active,3640,False,18,1,0,0,0,0,1,,,1604782800,1604782800,0,0
724,1604782787,3641,1,active,3641,False,23,1,0,3,28,0,1,,,1604782800,1604782800,0,24
725,1604781471,3646,1,active,3646,False,16,1,10,0,0,0,1,,,1604782800,1604782800,2,0
726,1604781729,3647,1,active,3647,False,3,1,0,0,20,0,1,,,1604782800,1604782800,0,1
727,1604782632,3648,1,active,3648,False,10,1,0,2,13,0,1,,,1604782800,1604782800,2,0
728,1604782412,3649,1,active,3649,False,28,1,0,0,2,0,1,,,1604782800,1604782800,0,1
729,1604782274,3654,1,active,3654,False,33,1,0,1,1,0,1,,,1604782800,1604782800,0,0
730,1604782626,3656,1,active,3656,False,18,1,0,1,27,0,1,,,1604782800,1604782800,10,0
731,1604782631,3658,1,active,3658,False,4,1,0,1,22,0,1,,,1604782800,1604782800,3,0
732,1604781408,3661,1,active,3661,False,4,1,0,0,15,0,1,,,1604782800,1604782800,4,0
733,1604782678,3664,1,active,3664,False,1,1,0,0,29,0,1,,,1604782800,1604782800,0,14
734,1604782646,3668,1,active,3668,False,0,1,0,0,26,0,1,,,1604782800,1604782800,0,2
735,1604782526,3671,1,active,3671,False,35,1,0,0,2,0,1,,,1604782800,1604782800,2,0
736,1604780959,3673,1,active,3673,False,19,1,0,2,0,0,1,,,1604782800,1604782800,2,0
737,1604782606,3674,1,active,3674,False,0,1,0,1,26,0,1,,,1604782800,1604782800,0,1
738,1604782645,3676,1,active,3676,False,0,1,24,3,8,0,1,"{'active': True, 'off_dock_capacity': 60, 'region': 'BKN', 'station_id': '633fbc4c-7617-47ba-a393-aad7a8d26a3e', 'valet_revision': 220, 'off_dock_count': 58, 'dock_blocked_count': 24}",[{'id': '633fbc4c-7617-47ba-a393-aad7a8d26a3e'}],1604782800,1604782800,0,1
739,1604772006,3677,1,active,3677,False,17,1,0,1,0,0,1,,,1604782800,1604782800,1,0
740,1604781162,3678,1,active,3678,False,17,1,0,0,1,0,1,,,1604782800,1604782800,0,1
741,1604781815,3679,1,active,3679,False,9,1,0,1,4,0,1,,,1604782800,1604782800,0,2
742,1604782706,3680,1,active,3680,False,55,1,0,0,0,0,1,,,1604782800,1604782800,0,0
743,1604782385,3681,1,active,3681,False,4,1,0,0,14,0,1,,,1604782800,1604782800,0,3
744,1604782620,3686,1,active,3686,False,0,1,0,5,34,0,1,,,1604782800,1604782800,0,0
745,1604782774,3687,1,active,3687,False,81,1,0,0,2,0,1,,,1604782800,1604782800,11,0
746,1604782106,3689,1,active,3689,False,47,1,0,0,0,0,1,,,1604782800,1604782800,1,0
747,1604781780,3690,1,active,3690,False,36,1,0,0,0,0,1,,,1604782800,1604782800,0,0
748,1604782479,3691,1,active,3691,False,17,1,0,1,1,0,1,,,1604782800,1604782800,0,0
749,1604781373,3693,1,active,3693,False,0,1,0,0,27,0,1,,,1604782800,1604782800,0,6
750,1604769560,3694,1,active,3694,False,18,1,0,0,0,0,1,,,1604782800,1604782800,0,0
751,1604782584,3697,1,active,3697,False,30,1,0,2,11,1,1,,,1604782800,1604782800,0,11
752,1604782666,3699,1,active,3699,False,26,1,0,2,2,0,1,,,1604782800,1604782800,0,1
753,1604780523,3704,1,active,3704,False,13,1,0,0,6,0,1,,,1604782800,1604782800,0,0
754,1604782672,3707,1,active,3707,False,51,1,0,2,2,1,1,,,1604782800,1604782800,7,0
755,1604782700,3708,1,active,3708,False,1,1,0,4,24,0,1,,,1604782800,1604782800,1,0
756,1604782791,3709,1,active,3709,False,6,1,0,3,42,0,1,,,1604782800,1604782800,7,0
757,1604782763,3711,1,active,3711,False,40,1,0,3,4,1,1,,,1604782800,1604782800,6,0
758,1604782298,3712,1,active,3712,False,39,1,0,0,0,0,1,,,1604782800,1604782800,6,0
759,1604780716,3714,1,active,3714,False,60,1,0,1,0,0,1,,,1604782800,1604782800,0,0
760,1604782510,3715,1,active,3715,False,1,1,0,0,30,0,1,,,1604782800,1604782800,0,2
761,1604770657,3716,1,active,3716,False,23,1,0,0,0,0,1,,,1604782800,1604782800,1,0
762,1604782657,3718,1,active,3718,False,45,1,0,1,0,0,1,,,1604782800,1604782800,2,0
763,1604781799,3721,1,active,3721,False,31,1,0,1,3,0,1,,,1604782800,1604782800,0,2
764,1604781829,3723,1,active,3723,True,26,1,0,1,3,0,1,,,1604782800,1604782800,0,3
765,1604782649,3724,1,active,3724,False,9,1,0,4,26,1,1,,,1604782800,1604782800,0,16
766,1604782553,3725,1,active,3725,False,37,1,0,3,1,0,1,,,1604782800,1604782800,4,0
767,1604782739,3726,1,active,3726,False,9,1,0,0,14,1,1,,,1604782800,1604782800,4,0
768,1604782395,3727,1,active,3727,False,29,1,0,0,9,2,1,,,1604782800,1604782800,3,0
769,1604782130,3728,1,active,3728,False,24,1,0,0,0,0,1,,,1604782800,1604782800,1,0
770,1604782285,3731,1,active,3731,False,42,1,0,1,3,0,1,,,1604782800,1604782800,0,0
771,1604782750,3733,1,active,3733,False,39,1,0,2,5,0,1,,,1604782800,1604782800,20,0
772,1604781894,3734,1,active,3734,False,45,1,0,5,0,0,1,,,1604782800,1604782800,4,0
773,1604782732,3735,1,active,3735,False,29,1,0,3,6,1,1,,,1604782800,1604782800,0,0
774,1601471240,3736,0,out_of_service,3736,False,3,0,0,0,0,0,0,,,1604782800,1604782800,0,0
775,1604782766,3737,1,active,3737,False,14,1,0,2,19,0,1,,,1604782800,1604782800,5,0
776,1604782722,3738,1,active,3738,False,16,1,0,1,14,0,1,,,1604782800,1604782800,11,0
777,1604782038,3739,1,active,3739,False,0,1,0,1,36,0,1,,,1604782800,1604782800,0,0
778,1604782683,3740,1,active,3740,False,0,1,0,2,32,0,1,,,1604782800,1604782800,0,0
779,1604782712,3744,1,active,3744,False,12,1,0,3,36,1,1,,,1604782800,1604782800,5,0
780,1604781878,3745,1,active,3745,False,25,1,0,1,1,0,1,,,1604782800,1604782800,1,0
781,1604782739,3746,1,active,3746,False,0,1,0,1,47,0,1,,,1604782800,1604782800,0,0
782,1604782720,3749,1,active,3749,False,17,1,0,1,5,1,1,,,1604782800,1604782800,0,0
783,1604782606,3755,1,active,3755,False,15,1,0,2,2,1,1,,,1604782800,1604782800,0,2
784,1604782633,3756,1,active,3756,False,16,1,0,0,5,1,1,,,1604782800,1604782800,0,1
785,1604781035,3757,1,active,3757,False,1,1,0,1,21,0,1,,,1604782800,1604782800,1,0
786,1604782739,3758,1,active,3758,False,16,1,0,2,1,0,1,,,1604782800,1604782800,0,1
787,1604782547,3759,1,active,3759,False,13,1,0,1,5,0,1,,,1604782800,1604782800,2,0
788,1604782114,3760,1,active,3760,False,13,1,0,1,9,0,1,,,1604782800,1604782800,2,0
789,1604781216,3761,1,active,3761,False,27,1,0,0,0,0,1,,,1604782800,1604782800,0,0
790,1604781830,3762,1,active,3762,False,3,1,0,1,23,1,1,,,1604782800,1604782800,3,0
791,1604781653,3763,1,active,3763,False,13,1,0,0,14,0,1,,,1604782800,1604782800,0,0
792,1604781902,3764,1,active,3764,False,16,1,0,0,5,0,1,,,1604782800,1604782800,0,0
793,1604782664,3765,1,active,3765,False,19,1,0,0,2,0,1,,,1604782800,1604782800,3,0
794,1604782154,3766,1,active,3766,False,24,1,0,0,0,0,1,,,1604782800,1604782800,3,0
795,1604782365,3767,1,active,3767,False,12,1,0,0,7,1,1,,,1604782800,1604782800,0,5
796,1604781571,3768,1,active,3768,False,6,1,0,0,17,0,1,,,1604782800,1604782800,1,0
797,1604780732,3769,1,active,3769,False,12,1,0,2,9,0,1,,,1604782800,1604782800,0,0
798,1604782065,3770,1,active,3770,False,20,1,0,0,1,0,1,,,1604782800,1604782800,0,0
799,1604782535,3771,1,active,3771,False,5,1,0,1,24,0,1,,,1604782800,1604782800,1,0
