,legacy_id,station_status,is_returning,station_id,num_bikes_available,eightd_has_available_keys,last_reported,is_installed,num_docks_disabled,num_bikes_disabled,is_renting,num_docks_available,num_ebikes_available,valet,eightd_active_station_services,starttime,timestamp,demand,supply
801,3773,active,1,3773,20,False,1604693648,1,0,0,1,0,1,,,1604696400,1604696400,0,2
802,3774,active,1,3774,20,False,1604695610,1,0,0,1,3,0,,,1604696400,1604696400,2,0
803,3775,active,1,3775,14,False,1604696387,1,0,0,1,13,0,,,1604696400,1604696400,0,4
804,3776,active,1,3776,0,False,1604690480,1,0,0,1,23,0,,,1604696400,1604696400,0,0
805,3777,active,1,3777,1,False,1604696354,1,0,0,1,22,1,,,1604696400,1604696400,0,0
806,3778,active,1,3778,6,False,1604696087,1,0,1,1,20,0,,,1604696400,1604696400,0,0
807,3779,active,1,3779,1,False,1604695253,1,0,1,1,22,0,,,1604696400,1604696400,1,0
808,3780,active,1,3780,0,False,1604694600,1,0,0,1,22,0,,,1604696400,1604696400,1,0
809,3781,active,1,3781,7,False,1604696148,1,0,0,1,23,0,,,1604696400,1604696400,0,3
810,3782,active,1,3782,27,False,1604696163,1,0,1,1,3,4,,,1604696400,1604696400,2,0
811,3783,active,1,3783,52,False,1604696129,1,0,0,1,13,3,,,1604696400,1604696400,0,9
812,3785,active,0,3785,35,False,1604696377,1,0,0,0,2,4,,,1604696400,1604696400,0,0
813,3786,active,1,3786,43,False,1604696256,1,0,4,1,2,0,,,1604696400,1604696400,0,0
814,3787,active,1,3787,19,False,1604695896,1,0,0,1,3,0,,,1604696400,1604696400,0,3
815,3789,active,1,3789,4,False,1604696382,1,0,1,1,26,1,,,1604696400,1604696400,0,4
816,3790,active,1,3790,8,False,1604696389,1,0,0,1,29,2,,,1604696400,1604696400,0,1
817,3791,active,1,3791,28,False,1604696298,1,0,1,1,3,0,,,1604696400,1604696400,0,3
818,3792,active,1,3792,27,False,1604695814,1,0,1,1,2,0,,,1604696400,1604696400,0,3
819,3795,active,1,3795,19,False,1604688623,1,0,0,1,0,0,,,1604696400,1604696400,0,0
820,3798,active,1,3798,34,False,1604696352,1,0,2,1,19,9,,,1604696400,1604696400,0,7
821,3799,active,1,3799,64,False,1604696374,1,0,2,1,1,9,,,1604696400,1604696400,0,6
822,3803,active,1,3803,14,False,1604695973,1,0,2,1,11,3,,,1604696400,1604696400,0,2
