,num_ebikes_available,num_bikes_disabled,station_status,num_bikes_available,station_id,is_renting,eightd_has_available_keys,num_docks_available,is_installed,last_reported,is_returning,legacy_id,num_docks_disabled,eightd_active_station_services,valet,starttime,timestamp,demand,supply
208,0,1,active,25,483,1,False,8,1,1604634933,1,483,0,,,1604635195,1604635195,1,0
209,0,1,active,1,484,1,False,44,1,1604634236,1,484,0,,,1604635195,1604635195,0,1
210,0,3,active,5,485,1,False,32,1,1604633463,1,485,0,,,1604635195,1604635195,3,0
211,0,0,active,12,486,1,False,29,1,1604634165,1,486,0,,,1604635195,1604635195,1,0
212,0,2,active,31,487,1,False,2,1,1604632804,1,487,0,,,1604635195,1604635195,1,0
213,6,3,active,26,489,1,False,20,1,1604635181,1,489,0,,,1604635195,1604635195,0,3
214,0,1,active,44,490,1,False,21,1,1604634999,1,490,0,,,1604635195,1604635195,0,0
215,9,0,active,54,492,1,False,14,1,1604634920,1,492,0,,,1604635195,1604635195,0,3
216,0,2,active,0,493,1,False,32,1,1604628191,1,493,0,,,1604635195,1604635195,0,0
217,2,1,active,62,494,1,False,3,1,1604634160,1,494,0,,,1604635195,1604635195,0,2
218,4,0,active,39,495,1,False,0,1,1604633474,1,495,0,,,1604635195,1604635195,0,0
219,0,6,active,32,496,1,False,26,1,1604634655,1,496,1,,,1604635195,1604635195,1,0
220,0,5,active,11,497,1,False,50,1,1604634520,1,497,0,,,1604635195,1604635195,0,0
221,0,5,active,9,499,1,True,22,1,1604634569,1,499,0,,,1604635195,1604635195,0,5
222,0,2,active,15,500,1,False,35,1,1604633264,1,500,0,,,1604635195,1604635195,0,0
223,0,3,active,48,501,1,False,32,1,1604635022,1,501,0,,,1604635195,1604635195,3,0
224,0,7,active,28,502,1,False,1,1,1604633001,1,502,0,,,1604635195,1604635195,2,0
225,0,4,active,8,503,1,False,19,1,1604634448,1,503,0,,,1604635195,1604635195,2,0
226,2,0,active,18,504,1,False,36,1,1604634998,1,504,0,,,1604635195,1604635195,0,3
227,0,10,active,34,505,1,False,8,1,1604635020,1,505,0,,,1604635195,1604635195,0,3
228,1,1,active,26,507,1,False,18,1,1604635052,1,507,0,,,1604635195,1604635195,0,0
229,3,3,active,17,508,1,False,5,1,1604635067,1,508,0,,,1604635195,1604635195,4,0
230,0,3,active,56,509,1,False,2,1,1604634244,1,509,0,,,1604635195,1604635195,1,0
231,0,0,active,0,510,1,False,55,1,1604629984,1,510,0,,,1604635195,1604635195,0,0
232,4,1,active,25,513,1,False,3,1,1604634218,1,513,0,,,1604635195,1604635195,2,0
233,2,1,active,49,514,1,True,2,1,1604635140,1,514,0,,,1604635195,1604635195,1,0
234,10,4,active,73,515,1,False,2,1,1604635132,1,515,0,,,1604635195,1604635195,2,0
235,0,1,active,23,516,1,False,7,1,1604633964,1,516,0,,,1604635195,1604635195,3,0
236,0,5,active,15,517,1,False,49,1,1604634547,1,517,0,,,1604635195,1604635195,1,0
237,0,2,active,19,519,1,False,48,1,1604634867,1,519,0,,,1604635195,1604635195,5,0
238,0,1,active,16,522,1,False,34,1,1604634179,1,522,0,,,1604635195,1604635195,0,0
239,0,2,active,27,525,1,False,27,1,1604634966,1,525,0,,,1604635195,1604635195,0,0
240,0,0,active,30,526,1,False,10,1,1604633682,1,526,0,,,1604635195,1604635195,0,1
241,3,4,active,12,528,1,False,23,1,1604634846,1,528,0,,,1604635195,1604635195,0,3
242,4,1,active,40,529,1,False,0,1,1604632850,1,529,0,,,1604635195,1604635195,0,0
243,2,1,active,22,530,1,False,1,1,1604633470,1,530,0,,,1604635195,1604635195,0,2
244,2,3,active,51,531,1,False,6,1,1604634862,1,531,0,,,1604635195,1604635195,0,2
245,2,4,active,28,532,1,False,11,1,1604634703,1,532,0,,,1604635195,1604635195,0,1
246,1,1,active,8,533,1,False,37,1,1604634063,1,533,0,,,1604635195,1604635195,0,0
247,1,2,active,19,534,1,False,10,1,1604632856,1,534,0,,,1604635195,1604635195,0,0
248,3,0,active,5,536,1,False,23,1,1604634510,1,536,0,,,1604635195,1604635195,0,0
249,0,2,active,4,539,1,False,25,1,1604633868,1,539,0,,,1604635195,1604635195,4,0
250,0,0,active,23,540,1,False,30,1,1604633942,1,540,0,,,1604635195,1604635195,3,0
251,1,1,active,14,545,1,False,12,1,1604634605,1,545,0,,,1604635195,1604635195,4,0
252,0,1,active,10,546,1,False,34,1,1604633911,1,546,0,,,1604635195,1604635195,1,0
