,is_renting,last_reported,num_docks_available,num_bikes_disabled,station_id,num_bikes_available,is_installed,is_returning,station_status,eightd_has_available_keys,num_ebikes_available,legacy_id,num_docks_disabled,valet,eightd_active_station_services,starttime,timestamp,demand,supply
0,1,1605218136,38,0,72,17,1,1,active,False,1,72,0,,,1605218405,1605218405,0,3
1,1,1605217300,1,1,79,31,1,1,active,False,3,79,0,,,1605218405,1605218405,0,0
2,1,1605217370,1,0,82,26,1,1,active,False,3,82,0,,,1605218405,1605218405,0,1
3,1,1605216866,23,0,83,39,1,1,active,False,0,83,0,,,1605218405,1605218405,1,0
4,0,86400,0,0,116,0,0,0,out_of_service,False,0,116,0,,,1605218405,1605218405,0,0
5,1,1605212554,8,2,119,43,1,1,active,False,0,119,0,,,1605218405,1605218405,0,0
6,1,1605218389,19,0,120,0,1,1,active,False,0,120,0,,,1605218405,1605218405,3,0
7,1,1605218169,19,0,127,12,1,1,active,False,2,127,0,,,1605218405,1605218405,2,0
8,1,1605217975,12,3,128,41,1,1,active,False,3,128,0,,,1605218405,1605218405,0,0
9,1,1605217235,15,0,143,9,1,1,active,False,0,143,0,,,1605218405,1605218405,0,3
10,1,1605215852,1,1,144,56,1,1,active,False,1,144,0,,,1605218405,1605218405,0,0
11,1,1605214082,14,0,146,25,1,1,active,False,0,146,0,,,1605218405,1605218405,1,0
12,1,1605217888,39,1,150,15,1,1,active,False,0,150,0,,,1605218405,1605218405,0,2
13,1,1605218146,0,3,151,30,1,1,active,True,2,151,0,,,1605218405,1605218405,0,7
14,1,1605215748,6,1,152,42,1,1,active,False,0,152,0,,,1605218405,1605218405,2,0
15,1,1605217326,17,0,157,6,1,1,active,False,2,157,0,,,1605218405,1605218405,0,1
16,1,1605217892,17,2,161,16,1,1,active,False,1,161,0,,,1605218405,1605218405,0,1
17,1,1605218255,27,1,164,19,1,1,active,False,5,164,0,,,1605218405,1605218405,0,8
18,1,1605217834,2,1,168,44,1,1,active,False,3,168,0,,,1605218405,1605218405,0,1
19,1,1605218214,21,0,173,49,1,1,active,False,0,173,0,,,1605218405,1605218405,1,0
20,1,1605218135,26,0,174,9,1,1,active,False,1,174,0,,,1605218405,1605218405,0,0
21,1,1605218158,7,3,212,50,1,1,active,False,1,212,0,,,1605218405,1605218405,0,2
22,1,1605217971,27,1,216,9,1,1,active,False,1,216,0,,,1605218405,1605218405,0,0
23,1,1605211769,0,0,217,39,1,1,active,False,3,217,0,,,1605218405,1605218405,0,2
24,1,1605217769,2,3,223,28,1,1,active,False,1,223,0,,,1605218405,1605218405,1,0
25,1,1605218300,25,0,224,5,1,1,active,True,1,224,0,,,1605218405,1605218405,1,0
26,1,1605218114,12,2,228,40,1,1,active,False,6,228,1,,,1605218405,1605218405,0,0
27,1,1605218338,6,1,229,16,1,1,active,False,2,229,0,,,1605218405,1605218405,0,2
28,1,86400,0,0,236,0,1,1,active,False,0,236,0,,,1605218405,1605218405,0,0
29,1,1605218090,31,2,237,6,1,1,active,False,0,237,0,,,1605218405,1605218405,2,0
30,1,1605218392,22,1,238,8,1,1,active,False,0,238,0,,,1605218405,1605218405,2,0
31,1,1605218251,14,1,239,16,1,1,active,False,0,239,0,,,1605218405,1605218405,0,2
32,1,1605217750,9,2,241,12,1,1,active,False,1,241,0,,,1605218405,1605218405,0,1
33,1,1605212233,3,0,242,43,1,1,active,False,1,242,0,,,1605218405,1605218405,0,1
34,1,1605218156,27,1,244,3,1,1,active,False,0,244,0,,,1605218405,1605218405,0,0
35,1,1605218236,11,0,245,12,1,1,active,False,0,245,0,,,1605218405,1605218405,0,4
36,1,1605218081,30,2,247,23,1,1,active,False,3,247,0,,,1605218405,1605218405,1,0
37,1,1605217756,7,3,248,89,1,1,active,False,3,248,0,,,1605218405,1605218405,0,0
38,1,1605218374,3,0,249,24,1,1,active,False,3,249,0,,,1605218405,1605218405,1,0
39,1,1605218084,6,1,250,33,1,1,active,False,0,250,0,,,1605218405,1605218405,0,6
40,1,1605218071,9,1,251,17,1,1,active,False,2,251,0,,,1605218405,1605218405,0,0
41,1,1605217769,8,1,252,24,1,1,active,False,1,252,0,,,1605218405,1605218405,2,0
42,1,1605218376,34,1,254,11,1,1,active,False,0,254,1,,,1605218405,1605218405,4,0
43,1,1605218022,3,1,257,35,1,1,active,False,2,257,0,,,1605218405,1605218405,0,4
44,1,1605217826,20,1,258,2,1,1,active,False,0,258,0,,,1605218405,1605218405,0,1
45,1,1605218363,6,0,259,33,1,1,active,False,0,259,0,,,1605218405,1605218405,0,0
46,1,1605213581,8,1,260,24,1,1,active,False,0,260,0,,,1605218405,1605218405,0,0
47,1,1605217853,24,0,261,17,1,1,active,False,1,261,0,,,1605218405,1605218405,1,0
48,1,1605216290,20,1,262,3,1,1,active,False,0,262,0,,,1605218405,1605218405,0,0
49,1,1605217736,6,1,264,20,1,1,active,False,0,264,0,,,1605218405,1605218405,1,0
50,1,1605218060,18,0,265,17,1,1,active,False,0,265,0,,,1605218405,1605218405,2,0
51,1,1605217970,48,1,267,21,1,1,active,False,1,267,0,,,1605218405,1605218405,4,0
52,1,1605217925,3,1,268,23,1,1,active,False,0,268,0,,,1605218405,1605218405,2,0
53,1,1605218080,21,0,270,2,1,1,active,False,0,270,0,,,1605218405,1605218405,0,0
54,1,1605215068,21,0,274,10,1,1,active,False,1,274,0,,,1605218405,1605218405,0,0
55,1,1605218198,17,0,275,2,1,1,active,False,1,275,0,,,1605218405,1605218405,0,1
56,1,1605216714,16,1,276,8,1,1,active,False,0,276,0,,,1605218405,1605218405,0,0
57,1,1605216033,12,0,278,7,1,1,active,False,0,278,0,,,1605218405,1605218405,0,0
58,0,86400,0,0,280,0,0,0,out_of_service,False,0,280,0,,,1605218405,1605218405,0,0
59,1,1605217843,14,1,281,51,1,1,active,True,0,281,0,,,1605218405,1605218405,0,6
60,1,1605217093,23,1,282,3,1,1,active,False,0,282,0,,,1605218405,1605218405,2,0
61,1,1605217140,1,2,284,48,1,1,active,False,13,284,0,,,1605218405,1605218405,0,0
62,1,1605218249,5,0,285,48,1,1,active,True,7,285,0,,,1605218405,1605218405,0,4
63,1,1605217952,19,0,289,0,1,1,active,False,0,289,0,,,1605218405,1605218405,2,0
64,1,1605218362,7,1,291,12,1,1,active,False,1,291,0,,,1605218405,1605218405,1,0
65,1,1605217882,7,3,293,44,1,1,active,False,1,293,0,,,1605218405,1605218405,0,2
66,1,1605217585,2,0,295,22,1,1,active,False,5,295,0,,,1605218405,1605218405,1,0
67,1,1605218099,58,3,297,16,1,1,active,False,1,297,0,,,1605218405,1605218405,1,0
68,1,1605218122,28,1,298,6,1,1,active,False,1,298,0,,,1605218405,1605218405,0,3
69,1,1605218289,23,0,301,35,1,1,active,False,2,301,0,,,1605218405,1605218405,0,0
70,1,1605218205,6,14,302,17,1,1,active,False,0,302,0,,,1605218405,1605218405,2,0
71,1,1605217661,0,3,303,64,1,1,active,False,3,303,0,,,1605218405,1605218405,0,1
72,1,1605218087,10,0,304,23,1,1,active,False,9,304,0,,,1605218405,1605218405,0,1
73,1,1605218394,14,0,305,19,1,1,active,False,2,305,0,,,1605218405,1605218405,0,7
74,1,1605217781,8,1,307,21,1,1,active,False,1,307,0,,,1605218405,1605218405,8,0
75,1,1605218244,2,2,308,44,1,1,active,False,2,308,0,,,1605218405,1605218405,0,1
76,1,1605217055,4,1,309,36,1,1,active,False,1,309,0,,,1605218405,1605218405,0,7
77,1,1605218307,14,1,310,51,1,1,active,False,0,310,0,,,1605218405,1605218405,0,3
78,1,1605218170,3,5,311,23,1,1,active,False,0,311,0,,,1605218405,1605218405,0,1
79,1,1605218365,3,1,312,29,1,1,active,False,2,312,0,,,1605218405,1605218405,1,0
80,1,1605217031,0,1,313,54,1,1,active,False,2,313,0,,,1605218405,1605218405,0,3
81,1,1605217529,2,4,315,23,1,1,active,False,1,315,0,,,1605218405,1605218405,0,0
82,0,1605217120,16,1,316,26,1,0,active,False,4,316,0,,,1605218405,1605218405,3,0
83,1,1605218165,39,0,317,15,1,1,active,False,2,317,0,,,1605218405,1605218405,1,0
84,1,1605217224,12,0,319,21,1,1,active,False,0,319,0,,,1605218405,1605218405,0,2
85,1,1605218249,6,0,320,33,1,1,active,False,1,320,0,,,1605218405,1605218405,1,0
86,1,1605215310,8,1,321,30,1,1,active,False,1,321,0,,,1605218405,1605218405,0,1
87,1,1605218387,2,0,323,37,1,1,active,False,3,323,0,,,1605218405,1605218405,0,2
88,1,1605218032,1,0,324,73,1,1,active,False,0,324,0,,,1605218405,1605218405,0,0
89,1,1605217788,14,1,325,20,1,1,active,False,0,325,0,,,1605218405,1605218405,5,0
90,1,1605216943,34,2,326,5,1,1,active,False,0,326,0,,,1605218405,1605218405,2,0
91,1,1605217614,9,1,327,29,1,1,active,True,1,327,0,,,1605218405,1605218405,0,1
92,1,1605218364,5,3,328,27,1,1,active,False,1,328,0,,,1605218405,1605218405,0,7
93,1,1605216122,7,1,330,31,1,1,active,False,2,330,0,,,1605218405,1605218405,0,6
94,1,1605217519,18,2,331,7,1,1,active,False,0,331,0,,,1605218405,1605218405,2,0
95,1,1605218382,19,1,332,16,1,1,active,False,0,332,0,,,1605218405,1605218405,0,1
96,1,1605218186,6,1,334,24,1,1,active,False,0,334,0,,,1605218405,1605218405,0,0
97,1,1605217910,8,1,335,18,1,1,active,False,0,335,0,,,1605218405,1605218405,0,3
98,1,1605216323,10,2,336,24,1,1,active,False,2,336,0,,,1605218405,1605218405,5,0
99,1,1605217920,6,1,340,20,1,1,active,False,2,340,0,,,1605218405,1605218405,0,4
100,0,1605202828,3,0,341,16,1,0,active,False,0,341,0,,,1605218405,1605218405,0,0
101,1,1605218237,4,1,342,23,1,1,active,False,4,342,1,,,1605218405,1605218405,1,0
102,1,1605217539,1,0,343,22,1,1,active,False,0,343,0,,,1605218405,1605218405,0,1
103,1,1605218245,17,4,344,2,1,1,active,False,0,344,0,,,1605218405,1605218405,0,0
104,1,1605218298,15,2,346,10,1,1,active,False,1,346,0,,,1605218405,1605218405,2,0
105,1,1605218199,17,2,347,35,1,1,active,False,3,347,0,,,1605218405,1605218405,1,0
106,1,1605216781,24,0,349,37,1,1,active,False,0,349,0,,,1605218405,1605218405,2,0
107,1,1605218341,9,2,350,35,1,1,active,False,8,350,1,,,1605218405,1605218405,0,0
108,1,1605217079,1,1,351,37,1,1,active,False,0,351,0,,,1605218405,1605218405,1,0
109,1,1605217945,22,2,353,3,1,1,active,False,0,353,0,,,1605218405,1605218405,0,1
110,1,1605216020,43,0,354,4,1,1,active,False,3,354,0,,,1605218405,1605218405,1,0
111,1,1605216636,7,1,355,35,1,1,active,False,4,355,0,,,1605218405,1605218405,0,7
112,1,1605217589,13,0,356,10,1,1,active,False,3,356,0,,,1605218405,1605218405,3,0
113,1,1605217817,1,0,358,19,1,1,active,False,3,358,30,"{'region': 'BKN', 'off_dock_capacity': 70, 'active': True, 'off_dock_count': 6, 'dock_blocked_count': 30, 'valet_revision': 919, 'station_id': '66dbc8f5-0aca-11e7-82f6-3863bb44ef7c'}",[{'id': '66dbc8f5-0aca-11e7-82f6-3863bb44ef7c'}],1605218405,1605218405,3,0
114,1,1605218181,28,3,359,47,1,1,active,False,5,359,0,,,1605218405,1605218405,0,8
115,1,1605218044,21,2,360,16,1,1,active,False,0,360,0,,,1605218405,1605218405,0,4
116,1,1605218222,14,1,361,64,1,1,active,False,3,361,0,,,1605218405,1605218405,1,0
117,1,1605218218,21,1,362,35,1,1,active,False,0,362,0,,,1605218405,1605218405,0,0
118,0,1604843856,3,0,363,0,0,0,out_of_service,False,0,363,0,,,1605218405,1605218405,0,0
119,1,1605211995,25,0,364,2,1,1,active,False,1,364,0,,,1605218405,1605218405,0,2
120,1,1605215985,32,0,366,1,1,1,active,False,1,366,0,,,1605218405,1605218405,0,0
121,1,1605218377,12,2,367,29,1,1,active,False,3,367,0,,,1605218405,1605218405,0,3
122,1,1605218087,26,2,368,17,1,1,active,False,0,368,2,,,1605218405,1605218405,6,0
123,1,1605216991,31,1,369,44,1,1,active,False,2,369,0,,,1605218405,1605218405,0,0
124,1,1605217577,16,0,372,11,1,1,active,False,0,372,0,,,1605218405,1605218405,0,2
125,1,1605216813,14,0,373,5,1,1,active,False,1,373,0,,,1605218405,1605218405,0,1
126,1,1605218388,7,1,376,34,1,1,active,False,0,376,0,,,1605218405,1605218405,2,0
127,1,1605217689,3,3,377,42,1,1,active,False,1,377,0,,,1605218405,1605218405,0,1
128,1,1605218103,0,1,379,55,1,1,active,False,13,379,0,,,1605218405,1605218405,0,1
129,1,1605218308,11,3,380,28,1,1,active,False,1,380,0,,,1605218405,1605218405,5,0
130,1,1605217880,16,0,383,22,1,1,active,False,2,383,1,,,1605218405,1605218405,1,0
131,1,1605218329,24,1,385,4,1,1,active,False,3,385,0,,,1605218405,1605218405,0,0
132,1,1605217571,3,2,386,77,1,1,active,False,1,386,0,,,1605218405,1605218405,0,4
133,1,1605218032,25,0,387,14,1,1,active,False,2,387,0,,,1605218405,1605218405,0,1
