,station_status,eightd_has_available_keys,legacy_id,station_id,is_installed,is_returning,last_reported,num_docks_disabled,num_bikes_available,is_renting,num_docks_available,num_ebikes_available,num_bikes_disabled,eightd_active_station_services,valet,starttime,timestamp,demand,supply
652,active,False,3557,3557,1,1,1604630294,0,15,1,4,1,0,,,1604631600,1604631600,0,1
653,active,False,3558,3558,1,1,1604629258,0,8,1,17,1,2,,,1604631600,1604631600,0,4
654,active,False,3559,3559,1,1,1604619165,0,0,1,19,0,0,,,1604631600,1604631600,0,0
655,active,False,3561,3561,1,1,1604621433,0,8,1,18,0,0,,,1604631600,1604631600,2,0
656,active,False,3562,3562,1,1,1604629815,0,6,1,20,2,1,,,1604631600,1604631600,0,2
657,active,False,3563,3563,1,1,1604631169,0,3,1,24,1,2,,,1604631600,1604631600,0,0
658,active,False,3564,3564,1,1,1604630142,0,14,1,5,1,0,,,1604631600,1604631600,0,0
659,active,False,3565,3565,1,1,1604627545,0,5,1,14,1,0,,,1604631600,1604631600,1,0
660,active,False,3566,3566,1,1,1604624434,0,2,1,23,0,0,,,1604631600,1604631600,2,0
661,active,False,3567,3567,1,1,1604590599,0,0,1,19,0,0,,,1604631600,1604631600,1,0
662,active,False,3568,3568,1,1,1604628725,0,7,1,14,0,0,,,1604631600,1604631600,0,0
663,active,False,3569,3569,1,1,1604631584,0,11,1,18,4,0,,,1604631600,1604631600,0,4
664,active,False,3570,3570,1,1,1604626779,0,13,1,18,1,0,,,1604631600,1604631600,0,0
665,active,False,3571,3571,1,1,1604631362,0,0,1,19,0,5,,,1604631600,1604631600,4,0
666,active,False,3572,3572,1,1,1604630576,0,17,1,16,0,0,,,1604631600,1604631600,0,0
667,active,False,3573,3573,1,1,1604630474,0,10,1,15,5,0,,,1604631600,1604631600,0,0
668,active,False,3574,3574,1,1,1604630134,0,6,1,17,0,0,,,1604631600,1604631600,3,0
669,active,False,3575,3575,1,1,1604628238,0,11,1,8,1,0,,,1604631600,1604631600,0,0
670,active,False,3576,3576,1,1,1604630651,0,7,1,20,2,0,,,1604631600,1604631600,0,3
671,active,False,3577,3577,1,1,1604628152,0,12,1,11,1,0,,,1604631600,1604631600,0,0
672,active,False,3578,3578,1,1,1604630100,0,1,1,19,0,1,,,1604631600,1604631600,0,0
673,active,False,3579,3579,1,1,1604630367,0,2,1,22,0,1,,,1604631600,1604631600,1,0
674,active,False,3580,3580,1,1,1604631121,0,2,1,27,0,1,,,1604631600,1604631600,0,0
675,active,False,3581,3581,1,1,1604631335,0,8,1,19,0,0,,,1604631600,1604631600,0,0
676,active,False,3582,3582,1,1,1604627288,0,1,1,26,1,1,,,1604631600,1604631600,0,0
677,active,False,3583,3583,1,1,1604631472,0,2,1,29,1,0,,,1604631600,1604631600,1,0
678,active,False,3584,3584,1,1,1604631054,0,5,1,35,1,2,,,1604631600,1604631600,0,3
679,active,False,3585,3585,1,1,1604627648,0,2,1,21,2,1,,,1604631600,1604631600,1,0
680,active,False,3586,3586,1,1,1604628356,0,10,1,8,0,1,,,1604631600,1604631600,0,0
681,active,False,3587,3587,1,1,1604631496,0,5,1,22,2,0,,,1604631600,1604631600,0,0
682,active,False,3588,3588,1,1,1604627131,0,17,1,4,0,0,,,1604631600,1604631600,0,1
683,active,False,3589,3589,1,1,1604630477,0,17,1,2,2,0,,,1604631600,1604631600,0,0
684,active,False,3590,3590,1,1,1604630735,0,4,1,14,1,1,,,1604631600,1604631600,5,0
685,active,False,3591,3591,1,1,1604629687,0,11,1,10,4,0,,,1604631600,1604631600,0,3
686,active,False,3592,3592,1,1,1604630048,0,9,1,10,3,0,,,1604631600,1604631600,0,0
687,active,False,3593,3593,1,1,1604629203,0,12,1,23,2,0,,,1604631600,1604631600,0,0
688,active,False,3595,3595,1,1,1604630087,0,14,1,3,1,1,,,1604631600,1604631600,0,1
689,active,False,3596,3596,1,1,1604630460,0,17,1,1,2,1,,,1604631600,1604631600,0,0
690,active,False,3597,3597,1,1,1604631518,0,22,1,2,5,1,,,1604631600,1604631600,0,3
691,active,False,3598,3598,1,1,1604630675,0,13,1,6,0,0,,,1604631600,1604631600,0,0
692,active,False,3600,3600,1,1,1604631056,0,4,1,23,0,0,,,1604631600,1604631600,3,0
