,is_returning,num_docks_available,station_id,num_bikes_disabled,num_ebikes_available,legacy_id,num_docks_disabled,eightd_has_available_keys,num_bikes_available,is_renting,station_status,last_reported,is_installed,starttime,timestamp,demand,supply
304,1,3,3085,0,0,3085,0,False,22,1,active,1604286407,1,1604293205,1604293205,22,22
305,1,17,3086,0,0,3086,0,False,13,1,active,1604288926,1,1604293205,1604293205,13,13
306,1,5,3087,0,1,3087,0,False,25,1,active,1604293004,1,1604293205,1604293205,25,25
307,1,3,3088,0,0,3088,0,False,16,1,active,1604292919,1,1604293205,1604293205,16,16
308,1,8,3092,1,0,3092,0,False,18,1,active,1604288037,1,1604293205,1604293205,18,18
309,1,14,3093,2,0,3093,0,False,12,1,active,1604288506,1,1604293205,1604293205,12,12
310,1,9,3094,0,0,3094,0,False,9,1,active,1604292847,1,1604293205,1604293205,9,9
311,1,18,3095,0,0,3095,0,False,8,1,active,1604282788,1,1604293205,1604293205,8,8
312,1,7,3096,0,1,3096,0,False,32,1,active,1604291115,1,1604293205,1604293205,32,32
313,1,32,3100,1,3,3100,0,False,18,1,active,1604290956,1,1604293205,1604293205,18,18
314,1,6,3101,0,0,3101,0,False,21,1,active,1604292413,1,1604293205,1604293205,21,21
315,1,6,3102,0,1,3102,0,False,21,1,active,1604275402,1,1604293205,1604293205,21,21
316,1,0,3105,0,1,3105,0,False,24,1,active,1604282354,1,1604293205,1604293205,24,24
317,1,10,3106,0,2,3106,0,False,12,1,active,1604285770,1,1604293205,1604293205,12,12
318,1,0,3107,0,0,3107,0,False,39,1,active,1604288305,1,1604293205,1604293205,39,39
319,1,24,3108,2,0,3108,0,False,25,1,active,1604291851,1,1604293205,1604293205,25,25
320,1,4,3109,1,1,3109,0,False,26,1,active,1604283387,1,1604293205,1604293205,26,26
321,1,2,3110,1,2,3110,0,False,25,1,active,1604285966,1,1604293205,1604293205,25,25
322,1,13,3112,1,1,3112,0,False,19,1,active,1604291269,1,1604293205,1604293205,19,19
323,1,2,3113,1,7,3113,0,False,24,1,active,1604289428,1,1604293205,1604293205,24,24
324,1,3,3115,1,5,3115,0,False,46,1,active,1604292316,1,1604293205,1604293205,46,46
