,num_bikes_available,is_renting,station_id,legacy_id,num_bikes_disabled,num_docks_available,eightd_has_available_keys,station_status,is_installed,num_ebikes_available,is_returning,num_docks_disabled,last_reported,eightd_active_station_services,valet,starttime,timestamp,demand,supply
259,31,1,2009,2009,3,1,False,active,1,0,1,0,1605264835,,,1605265190,1605265190,0,2
260,40,1,2010,2010,0,25,False,active,1,0,1,0,1605249813,,,1605265190,1605265190,0,0
261,1,1,2012,2012,1,33,False,active,1,0,1,0,1605264856,,,1605265190,1605265190,14,0
262,4,1,2017,2017,0,35,False,active,1,1,1,0,1605263524,,,1605265190,1605265190,0,0
263,11,1,2021,2021,0,53,False,active,1,0,1,1,1605263670,,,1605265190,1605265190,0,1
264,3,1,2022,2022,0,30,False,active,1,0,1,0,1605250623,,,1605265190,1605265190,0,1
265,40,1,3016,3016,0,14,False,active,1,1,1,0,1605256634,,,1605265190,1605265190,0,1
266,23,1,3041,3041,0,1,False,active,1,10,1,0,1605251829,,,1605265190,1605265190,0,1
267,16,1,3042,3042,1,2,False,active,1,5,1,0,1605263131,,,1605265190,1605265190,0,0
268,13,1,3043,3043,0,6,False,active,1,1,1,0,1605259051,,,1605265190,1605265190,0,0
269,10,1,3044,3044,0,17,False,active,1,1,1,0,1605251829,,,1605265190,1605265190,0,0
270,7,1,3046,3046,0,12,False,active,1,4,1,0,1605265057,,,1605265190,1605265190,0,0
271,7,1,3047,3047,0,14,False,active,1,3,1,0,1605262599,,,1605265190,1605265190,0,2
272,4,1,3048,3048,0,15,False,active,1,0,1,0,1605252933,,,1605265190,1605265190,0,0
273,10,1,3049,3049,0,7,False,active,1,6,1,1,1605263636,,,1605265190,1605265190,0,0
274,12,1,3050,3050,0,9,False,active,1,0,1,0,1605251828,,,1605265190,1605265190,0,0
275,7,1,3052,3052,1,15,False,active,1,5,1,0,1605251828,,,1605265190,1605265190,0,0
276,4,1,3053,3053,1,18,False,active,1,1,1,0,1605256263,,,1605265190,1605265190,0,1
277,5,1,3054,3054,0,14,False,active,1,1,1,0,1605260777,,,1605265190,1605265190,0,0
278,1,1,3055,3055,1,21,False,active,1,0,1,0,1605251827,,,1605265190,1605265190,0,0
