,station_status,station_id,is_renting,is_returning,num_docks_disabled,num_bikes_available,num_ebikes_available,num_bikes_disabled,eightd_has_available_keys,legacy_id,last_reported,num_docks_available,is_installed,eightd_active_station_services,valet,starttime,timestamp,demand,supply
122,active,368,1,1,2,34,3,2,False,368,1605236307,9,1,,,1605236395,1605236395,0,4
123,active,369,1,1,0,55,3,1,False,369,1605235327,20,1,,,1605236395,1605236395,0,2
124,active,372,1,1,0,10,2,0,False,372,1605235561,17,1,,,1605236395,1605236395,0,1
125,active,373,1,1,0,6,1,0,False,373,1605234276,13,1,,,1605236395,1605236395,0,1
126,active,376,1,1,0,33,0,1,False,376,1605235483,8,1,,,1605236395,1605236395,1,0
127,active,377,1,1,0,27,0,1,False,377,1605236030,20,1,,,1605236395,1605236395,0,0
128,active,379,1,1,0,44,6,1,False,379,1605235226,11,1,,,1605236395,1605236395,0,3
129,active,380,1,1,0,38,3,1,False,380,1605236227,3,1,,,1605236395,1605236395,0,2
130,active,383,1,1,1,37,5,0,False,383,1605236077,1,1,,,1605236395,1605236395,0,6
131,active,385,1,1,0,2,0,1,False,385,1605235055,26,1,,,1605236395,1605236395,1,0
132,active,386,0,0,0,70,0,2,False,386,1605233127,10,1,,,1605236395,1605236395,0,0
133,active,387,1,1,0,8,0,0,False,387,1605236273,31,1,,,1605236395,1605236395,0,3
134,active,388,1,1,0,1,0,2,False,388,1605233651,32,1,,,1605236395,1605236395,2,0
135,active,389,1,1,0,13,1,0,False,389,1605236067,14,1,,,1605236395,1605236395,0,2
136,active,390,1,1,0,23,1,0,False,390,1605235691,8,1,,,1605236395,1605236395,1,0
137,active,391,1,1,13,1,0,13,False,391,1605236314,11,1,,,1605236395,1605236395,0,0
138,active,392,1,1,0,28,1,0,False,392,1605234654,7,1,,,1605236395,1605236395,1,0
139,active,393,1,1,0,13,3,1,False,393,1605236369,23,1,,,1605236395,1605236395,3,0
140,out_of_service,394,0,0,0,0,0,0,False,394,86400,0,0,,,1605236395,1605236395,0,0
141,active,396,1,1,0,5,0,1,False,396,1605235106,19,1,,,1605236395,1605236395,1,0
142,active,397,1,1,0,6,2,1,False,397,1605234482,68,1,,,1605236395,1605236395,0,0
143,active,398,1,1,0,28,0,1,False,398,1605233801,2,1,,,1605236395,1605236395,0,0
144,active,399,1,1,0,4,0,1,False,399,1605235953,34,1,,,1605236395,1605236395,2,0
145,active,400,1,1,1,6,0,0,False,400,1605234901,8,1,,,1605236395,1605236395,1,0
146,active,401,1,1,0,30,3,0,False,401,1605235900,12,1,,,1605236395,1605236395,1,0
147,active,402,0,0,0,38,6,1,False,402,1605236262,0,1,,,1605236395,1605236395,0,0
148,active,403,1,1,0,14,1,0,False,403,1605236363,17,1,,,1605236395,1605236395,1,0
149,active,405,1,1,0,27,2,0,False,405,1605235567,24,1,,,1605236395,1605236395,1,0
150,active,406,1,1,0,8,0,1,False,406,1605234583,11,1,,,1605236395,1605236395,1,0
151,active,408,1,1,0,17,0,2,False,408,1605235887,4,1,,,1605236395,1605236395,3,0
