,legacy_id,num_ebikes_available,station_status,eightd_has_available_keys,num_docks_available,num_bikes_available,num_bikes_disabled,is_renting,last_reported,is_installed,num_docks_disabled,is_returning,station_id,valet,eightd_active_station_services,starttime,timestamp,demand,supply
182,454,0,active,False,16,17,2,1,1604980261,1,0,1,454,,,1604980805,1604980805,0,2
183,455,0,active,False,56,1,2,1,1604977172,1,0,1,455,,,1604980805,1604980805,1,0
184,456,0,active,False,33,1,0,1,1604978851,1,0,1,456,,,1604980805,1604980805,0,0
185,457,1,active,False,76,1,2,1,1604979556,1,0,1,457,,,1604980805,1604980805,0,0
186,458,0,active,False,19,12,0,1,1604980088,1,0,1,458,,,1604980805,1604980805,0,3
187,460,0,active,False,5,18,2,1,1604980252,1,0,1,460,,,1604980805,1604980805,3,0
188,461,2,active,False,24,30,2,1,1604980801,1,0,1,461,,,1604980805,1604980805,0,1
189,462,0,active,False,4,71,2,1,1604980801,1,0,1,462,,,1604980805,1604980805,0,0
190,464,0,active,False,49,0,3,1,1604980793,1,1,1,464,,,1604980805,1604980805,1,0
191,465,0,active,False,38,0,1,1,1604980461,1,0,1,465,,,1604980805,1604980805,1,0
192,466,0,active,False,21,5,1,1,1604980783,1,8,1,466,,,1604980805,1604980805,2,0
193,467,0,active,False,9,25,0,1,1604979245,1,0,1,467,,,1604980805,1604980805,0,0
194,468,1,active,False,56,7,2,1,1604979948,1,0,1,468,,,1604980805,1604980805,2,0
195,469,1,active,False,45,9,3,1,1604980028,1,0,1,469,,,1604980805,1604980805,0,5
196,470,0,active,False,12,58,2,1,1604980775,1,0,1,470,,,1604980805,1604980805,0,1
197,471,1,active,False,24,7,0,1,1604979946,1,0,1,471,,,1604980805,1604980805,0,2
198,472,0,active,False,47,8,0,1,1604980110,1,0,1,472,,,1604980805,1604980805,0,1
199,473,0,active,False,3,47,0,1,1604980626,1,0,1,473,,,1604980805,1604980805,2,0
200,474,0,active,False,55,0,1,1,1604980140,1,0,1,474,,,1604980805,1604980805,4,0
201,476,0,active,False,57,7,1,1,1604980641,1,0,1,476,,,1604980805,1604980805,0,1
