,is_installed,is_renting,legacy_id,station_id,num_bikes_available,num_ebikes_available,num_docks_disabled,is_returning,eightd_has_available_keys,station_status,num_bikes_disabled,num_docks_available,last_reported,eightd_active_station_services,valet,starttime,timestamp,demand,supply
495,1,1,3346,3346,4,1,0,1,False,active,0,25,1605278199,,,1605279595,1605279595,0,0
496,1,1,3347,3347,17,0,0,1,False,active,1,3,1605277652,,,1605279595,1605279595,0,0
497,1,1,3348,3348,12,0,0,1,False,active,0,7,1605279349,,,1605279595,1605279595,3,0
498,1,1,3349,3349,1,1,0,1,False,active,0,29,1605275604,,,1605279595,1605279595,0,0
499,1,1,3350,3350,8,0,0,1,False,active,0,31,1605279145,,,1605279595,1605279595,1,0
500,1,1,3351,3351,14,1,0,1,False,active,0,11,1605275916,,,1605279595,1605279595,0,2
501,1,1,3352,3352,14,1,0,1,False,active,0,7,1605279393,,,1605279595,1605279595,0,0
502,1,1,3354,3354,1,1,0,1,True,active,1,29,1605276033,,,1605279595,1605279595,0,0
503,1,0,3355,3355,11,0,0,0,False,active,0,14,1605277719,,,1605279595,1605279595,1,0
504,1,1,3356,3356,5,1,0,1,False,active,0,16,1605279502,,,1605279595,1605279595,0,2
505,1,1,3357,3357,4,0,0,1,False,active,1,30,1605279512,,,1605279595,1605279595,0,1
506,1,1,3358,3358,3,1,0,1,False,active,1,21,1605278566,,,1605279595,1605279595,0,2
507,1,1,3359,3359,5,0,0,1,False,active,3,33,1605278163,,,1605279595,1605279595,0,0
508,1,1,3361,3361,7,3,0,1,False,active,0,16,1605278830,,,1605279595,1605279595,0,1
509,1,1,3362,3362,3,0,0,1,False,active,1,30,1605275633,,,1605279595,1605279595,0,0
510,1,1,3363,3363,27,8,0,1,False,active,0,6,1605278364,,,1605279595,1605279595,1,0
511,1,1,3364,3364,27,0,0,1,False,active,0,0,1605274809,,,1605279595,1605279595,0,2
512,1,1,3365,3365,2,2,0,1,False,active,0,25,1605278299,,,1605279595,1605279595,1,0
513,1,1,3366,3366,18,5,0,1,False,active,0,13,1605279307,,,1605279595,1605279595,0,0
514,1,1,3367,3367,20,6,0,1,False,active,0,19,1605278995,,,1605279595,1605279595,3,0
515,1,1,3368,3368,28,1,0,1,False,active,0,2,1605278534,,,1605279595,1605279595,0,1
516,1,1,3369,3369,2,0,0,1,False,active,1,26,1605278772,,,1605279595,1605279595,0,2
517,1,1,3370,3370,3,1,0,1,False,active,0,22,1605279113,,,1605279595,1605279595,0,0
518,1,1,3372,3372,25,7,0,1,False,active,1,13,1605279477,,,1605279595,1605279595,7,0
519,1,1,3373,3373,27,1,0,1,False,active,0,0,1605278773,,,1605279595,1605279595,0,0
520,1,1,3374,3374,32,4,0,1,True,active,0,4,1605279378,,,1605279595,1605279595,0,12
521,1,1,3375,3375,4,1,0,1,False,active,3,28,1605277495,,,1605279595,1605279595,0,1
522,1,1,3376,3376,22,0,0,1,False,active,1,16,1605277601,,,1605279595,1605279595,0,0
523,1,1,3377,3377,20,0,0,1,False,active,0,5,1605276629,,,1605279595,1605279595,0,0
524,1,1,3378,3378,19,7,0,1,False,active,0,9,1605277826,,,1605279595,1605279595,0,0
525,1,1,3379,3379,34,2,0,1,False,active,0,1,1605277866,,,1605279595,1605279595,0,1
526,1,1,3381,3381,21,5,0,1,False,active,0,0,1605274855,,,1605279595,1605279595,0,0
527,1,1,3382,3382,30,2,0,1,False,active,0,1,1605272330,,,1605279595,1605279595,1,0
528,1,1,3383,3383,3,3,0,1,False,active,1,21,1605279256,,,1605279595,1605279595,0,0
529,1,1,3384,3384,3,1,0,1,False,active,0,22,1605278677,,,1605279595,1605279595,0,1
530,1,1,3386,3386,10,0,0,1,False,active,0,17,1605278997,,,1605279595,1605279595,0,1
531,1,1,3387,3387,24,1,0,1,False,active,0,1,1605277505,,,1605279595,1605279595,0,0
532,1,1,3388,3388,23,0,0,1,False,active,0,2,1605277165,,,1605279595,1605279595,0,2
533,1,1,3389,3389,19,0,0,1,False,active,1,8,1605273605,,,1605279595,1605279595,0,0
534,1,1,3390,3390,20,2,0,1,False,active,0,4,1605271663,,,1605279595,1605279595,0,2
535,1,1,3391,3391,23,3,0,1,False,active,0,2,1605276785,,,1605279595,1605279595,1,0
536,1,1,3392,3392,13,1,0,1,False,active,0,6,1605277438,,,1605279595,1605279595,0,0
537,1,1,3393,3393,17,0,0,1,False,active,0,2,1605275106,,,1605279595,1605279595,0,0
538,1,1,3394,3394,18,3,0,1,False,active,0,3,1605275278,,,1605279595,1605279595,0,0
539,1,1,3395,3395,19,2,0,1,False,active,0,0,1605254240,,,1605279595,1605279595,0,0
540,1,1,3396,3396,4,1,0,1,False,active,0,21,1605276638,,,1605279595,1605279595,0,1
541,1,1,3397,3397,24,1,0,1,False,active,1,0,1605254240,,,1605279595,1605279595,0,0
542,1,1,3398,3398,20,1,0,1,False,active,0,3,1605279065,,,1605279595,1605279595,0,0
543,1,1,3399,3399,23,0,0,1,False,active,1,0,1605277403,,,1605279595,1605279595,0,0
