,station_id,num_bikes_available,eightd_has_available_keys,last_reported,legacy_id,num_docks_available,num_ebikes_available,num_bikes_disabled,station_status,is_installed,num_docks_disabled,is_renting,is_returning,starttime,timestamp,demand,supply
115,360,11,False,1604239237,360,28,2,0,active,1,0,1,1,1604239360,1604239360,11,11
116,361,37,False,1604239093,361,3,1,3,active,1,0,1,1,1604239360,1604239360,37,37
117,362,14,False,1604238813,362,43,0,0,active,1,0,1,1,1604239360,1604239360,14,14
118,363,0,False,86400,363,0,0,0,out_of_service,0,0,0,0,1604239360,1604239360,0,0
119,364,10,False,1604237289,364,17,0,0,active,1,0,1,1,1604239360,1604239360,10,10
120,366,15,False,1604239341,366,18,0,0,active,1,0,1,1,1604239360,1604239360,15,15
121,367,8,False,1604238444,367,34,3,1,active,1,0,1,1,1604239360,1604239360,8,8
122,368,26,False,1604239046,368,19,0,2,active,1,0,1,1,1604239360,1604239360,26,26
123,369,61,False,1604238292,369,14,0,1,active,1,0,1,1,1604239360,1604239360,61,61
124,372,7,False,1604239044,372,20,2,0,active,1,0,1,1,1604239360,1604239360,7,7
125,373,14,False,1604237571,373,5,5,0,active,1,0,1,1,1604239360,1604239360,14,14
126,376,15,False,1604239010,376,28,1,0,active,1,0,1,1,1604239360,1604239360,15,15
127,377,18,False,1604239251,377,30,0,0,active,1,0,1,1,1604239360,1604239360,18,18
128,379,50,False,1604239229,379,6,0,0,active,1,0,1,1,1604239360,1604239360,50,50
129,380,37,False,1604239273,380,5,2,0,active,1,0,0,0,1604239360,1604239360,37,37
130,383,14,False,1604239093,383,25,1,0,active,1,0,1,1,1604239360,1604239360,14,14
131,385,14,False,1604238884,385,12,1,3,active,1,0,1,1,1604239360,1604239360,14,14
132,386,43,False,1604238851,386,38,1,1,active,1,0,1,1,1604239360,1604239360,43,43
133,387,7,False,1604237806,387,30,0,2,active,1,0,1,1,1604239360,1604239360,7,7
134,388,7,False,1604234733,388,27,2,1,active,1,0,1,1,1604239360,1604239360,7,7
135,389,23,False,1604239337,389,4,2,0,active,1,0,1,1,1604239360,1604239360,23,23
136,390,16,False,1604238469,390,14,3,1,active,1,0,1,1,1604239360,1604239360,16,16
137,391,0,False,86400,391,0,0,0,active,1,0,1,1,1604239360,1604239360,0,0
138,392,22,False,1604239156,392,13,1,0,active,1,0,1,1,1604239360,1604239360,22,22
139,393,29,False,1604239125,393,8,0,0,active,1,0,1,1,1604239360,1604239360,29,29
140,394,0,False,86400,394,0,0,0,out_of_service,0,0,0,0,1604239360,1604239360,0,0
141,396,7,False,1604238505,396,18,6,0,active,1,0,1,1,1604239360,1604239360,7,7
142,397,4,False,1604235260,397,70,3,1,active,1,0,1,1,1604239360,1604239360,4,4
143,398,20,False,1604238973,398,11,4,0,active,1,0,1,1,1604239360,1604239360,20,20
144,399,9,False,1604239104,399,29,1,1,active,1,0,1,1,1604239360,1604239360,9,9
145,400,10,False,1604238444,400,5,0,0,active,1,0,1,1,1604239360,1604239360,10,10
146,401,23,False,1604239008,401,16,1,3,active,1,0,1,1,1604239360,1604239360,23,23
147,402,3,False,1604239128,402,35,2,1,active,1,0,1,1,1604239360,1604239360,3,3
148,403,24,False,1604238486,403,5,1,2,active,1,0,1,1,1604239360,1604239360,24,24
149,405,15,False,1604239318,405,35,2,1,active,1,0,1,1,1604239360,1604239360,15,15
150,406,4,False,1604239039,406,16,1,0,active,1,0,1,1,1604239360,1604239360,4,4
151,408,22,False,1604237622,408,0,7,1,active,1,0,1,1,1604239360,1604239360,22,22
152,410,34,False,1604238253,410,8,1,3,active,1,0,1,1,1604239360,1604239360,34,34
153,411,25,False,1604238753,411,6,0,0,active,1,0,1,1,1604239360,1604239360,25,25
