,station_id,is_renting,num_ebikes_available,station_status,last_reported,legacy_id,eightd_has_available_keys,num_docks_disabled,num_bikes_disabled,num_bikes_available,is_installed,is_returning,num_docks_available,eightd_active_station_services,valet,starttime,timestamp,demand,supply
789,3761,1,0,active,1604635953,3761,False,0,0,2,1,1,25,,,1604638805,1604638805,0,1
790,3762,1,0,active,1604638078,3762,False,0,0,27,1,1,0,,,1604638805,1604638805,0,2
791,3763,1,0,active,1604636075,3763,False,0,1,20,1,1,6,,,1604638805,1604638805,0,2
792,3764,1,2,active,1604638581,3764,False,0,0,20,1,1,1,,,1604638805,1604638805,0,0
793,3765,1,0,active,1604637149,3765,False,0,0,10,1,1,11,,,1604638805,1604638805,3,0
794,3766,1,4,active,1604636055,3766,False,0,0,10,1,1,14,,,1604638805,1604638805,1,0
795,3767,1,3,active,1604637324,3767,False,0,1,5,1,1,13,,,1604638805,1604638805,0,3
796,3768,1,0,active,1604638779,3768,False,0,0,10,1,1,13,,,1604638805,1604638805,0,0
797,3769,1,0,active,1604636158,3769,False,0,0,21,1,1,2,,,1604638805,1604638805,0,0
798,3770,1,0,active,1604636908,3770,False,0,2,5,1,1,14,,,1604638805,1604638805,0,0
799,3771,1,0,active,1604637348,3771,False,0,0,28,1,1,2,,,1604638805,1604638805,0,0
800,3772,1,0,active,1604638184,3772,False,0,0,2,1,1,17,,,1604638805,1604638805,0,1
801,3773,1,0,active,1604637983,3773,False,0,0,15,1,1,5,,,1604638805,1604638805,1,0
802,3774,1,0,active,1604634794,3774,False,0,0,22,1,1,1,,,1604638805,1604638805,0,0
803,3775,1,0,active,1604637298,3775,False,0,1,4,1,1,22,,,1604638805,1604638805,2,0
804,3776,1,1,active,1604637855,3776,False,0,0,2,1,1,21,,,1604638805,1604638805,0,0
805,3777,1,1,active,1604637170,3777,False,0,1,8,1,1,14,,,1604638805,1604638805,0,0
806,3778,1,0,active,1604638149,3778,False,0,1,9,1,1,17,,,1604638805,1604638805,4,0
807,3779,1,1,active,1604636742,3779,False,0,0,6,1,1,18,,,1604638805,1604638805,0,0
808,3780,1,0,active,1604637504,3780,False,0,1,0,1,1,21,,,1604638805,1604638805,0,0
809,3781,1,3,active,1604636752,3781,False,0,1,8,1,1,21,,,1604638805,1604638805,0,1
810,3782,1,0,active,1604636624,3782,False,0,0,16,1,1,15,,,1604638805,1604638805,0,0
811,3783,1,4,active,1604638665,3783,False,0,2,51,1,1,12,,,1604638805,1604638805,0,1
812,3785,1,1,active,1604638285,3785,False,0,6,2,1,1,29,,,1604638805,1604638805,0,1
813,3786,1,0,active,1604638642,3786,False,0,3,44,1,1,2,,,1604638805,1604638805,0,0
