,legacy_id,last_reported,num_docks_available,station_status,num_bikes_disabled,station_id,is_installed,num_docks_disabled,is_returning,num_bikes_available,eightd_has_available_keys,num_ebikes_available,is_renting,eightd_active_station_services,valet,starttime,timestamp,demand,supply
981,3973,1604249426,25,active,0,3973,1,0,1,1,False,1,1,,,1604257195,1604257195,1,1
982,3975,1604250744,3,active,0,3975,1,0,1,18,False,0,1,,,1604257195,1604257195,18,18
983,3976,1604252421,2,active,0,3976,1,0,1,17,False,0,1,,,1604257195,1604257195,17,17
984,3977,1604247177,26,active,0,3977,1,0,1,3,False,2,1,,,1604257195,1604257195,3,3
985,3978,1604246920,17,active,0,3978,1,0,1,1,False,0,1,,,1604257195,1604257195,1,1
986,3980,1604247262,20,active,0,3980,1,0,1,0,False,0,1,,,1604257195,1604257195,0,0
987,3981,1604246859,23,active,1,3981,1,0,1,0,False,0,1,,,1604257195,1604257195,0,0
988,3982,1604251310,16,active,0,3982,1,0,1,5,False,2,1,,,1604257195,1604257195,5,5
989,3983,1604254582,21,active,0,3983,1,0,1,2,False,2,1,,,1604257195,1604257195,2,2
990,3984,1604253444,21,active,0,3984,1,0,1,2,False,0,1,,,1604257195,1604257195,2,2
991,3985,1604230942,17,active,2,3985,1,0,1,3,False,2,1,,,1604257195,1604257195,3,3
992,3986,1604257057,24,active,1,3986,1,0,1,10,False,4,1,,,1604257195,1604257195,10,10
993,3987,1604246118,15,active,0,3987,1,0,1,8,False,0,1,,,1604257195,1604257195,8,8
994,3988,1604256325,2,active,0,3988,1,0,1,17,False,4,1,,,1604257195,1604257195,17,17
995,3989,1604252438,17,active,1,3989,1,0,1,4,False,0,1,,,1604257195,1604257195,4,4
996,3992,1604255361,38,active,0,3992,1,0,1,9,False,0,1,,,1604257195,1604257195,9,9
997,3994,1604249456,3,active,0,3994,1,0,1,27,False,1,1,,,1604257195,1604257195,27,27
998,3995,1604255950,18,active,1,3995,1,0,1,2,False,0,1,,,1604257195,1604257195,2,2
999,3996,1604221496,16,active,0,3996,1,0,1,8,False,0,1,,,1604257195,1604257195,8,8
1000,3997,1604255828,15,active,0,3997,1,0,1,5,False,3,1,,,1604257195,1604257195,5,5
1001,3998,1604254924,13,active,0,3998,1,0,1,16,False,4,1,,,1604257195,1604257195,16,16
1002,3999,1604257026,20,active,0,3999,1,0,1,3,False,0,1,,,1604257195,1604257195,3,3
1003,4000,1604254688,16,active,0,4000,1,0,1,6,False,2,1,,,1604257195,1604257195,6,6
1004,4001,1604246823,21,active,0,4001,1,0,1,3,False,1,1,,,1604257195,1604257195,3,3
1005,4002,1604254542,20,active,0,4002,1,0,1,4,False,0,1,,,1604257195,1604257195,4,4
1006,4004,1604256707,3,active,1,4004,1,0,1,17,False,1,1,,,1604257195,1604257195,17,17
1007,4005,1604256357,21,active,1,4005,1,0,1,2,False,1,1,,,1604257195,1604257195,2,2
1008,4006,1604245189,19,active,0,4006,1,0,1,6,False,1,1,,,1604257195,1604257195,6,6
1009,4007,1604249926,8,active,0,4007,1,0,1,22,False,0,1,,,1604257195,1604257195,22,22
1010,4008,86400,0,out_of_service,0,4008,0,0,0,0,False,0,0,,,1604257195,1604257195,0,0
1011,4009,1604251366,23,active,1,4009,1,0,1,11,False,0,1,,,1604257195,1604257195,11,11
1012,4010,1604248742,24,active,0,4010,1,0,1,0,False,0,1,,,1604257195,1604257195,0,0
1013,4011,1604245575,24,active,0,4011,1,0,1,1,False,0,1,,,1604257195,1604257195,1,1
1014,4012,1604246451,23,active,0,4012,1,0,1,0,False,0,1,,,1604257195,1604257195,0,0
1015,4013,1604251760,23,active,0,4013,1,0,1,1,False,0,1,,,1604257195,1604257195,1,1
1016,4014,1604248974,22,active,0,4014,1,0,1,0,False,0,1,,,1604257195,1604257195,0,0
1017,4015,1604256999,7,active,3,4015,1,0,1,21,False,1,1,,,1604257195,1604257195,21,21
1018,4016,1604251605,7,active,0,4016,1,0,1,15,False,1,1,,,1604257195,1604257195,15,15
1019,4017,1604255666,15,active,1,4017,1,0,1,6,False,0,1,,,1604257195,1604257195,6,6
1020,4018,1604254318,17,active,0,4018,1,0,1,4,False,2,1,,,1604257195,1604257195,4,4
1021,4019,1604242492,17,active,0,4019,1,0,1,0,False,0,1,,,1604257195,1604257195,0,0
1022,4020,1604246747,22,active,0,4020,1,0,1,0,False,0,1,,,1604257195,1604257195,0,0
